Player,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds
Rick Mirer\MireRi00,0,0,0,5,1993,2003,32,80,68,1088,2043,11969,50,60,76,199,1038
Mike Pagel\PageMi00,0,0,0,4,1982,1993,30,132,54,756,1509,9414,49,80,63,115,837
Teddy Bridgewater\BridTe00,0,0,1,2,2014,2020,27,52,42,882,1327,9758,47,87,31,113,759
Joey Harrington\HarrJo00,0,0,0,6,2002,2007,30,81,76,1424,2538,14693,79,86,85,124,770
Tim Couch\CoucTi00,0,0,0,3,1999,2003,30,62,59,1025,1714,11131,64,79,67,166,1119
Vince Evans\EvanVi00,0,0,0,2,1977,1995,29,100,39,704,1390,9485,52,89,74,118,904
Joe Kapp\KappJo00,0,0,1,4,1967,1970,23,51,48,449,918,5911,40,85,64,55,429
Steve Fuller\FullSt00,1,0,0,2,1979,1986,29,90,42,605,1066,7156,28,77,41,152,1048
Bob Avellini\AvelBo00,0,0,0,3,1975,1984,28,73,50,560,1110,7111,33,75,69,110,961
Tom Flores\FlorTo00,1,0,1,6,1960,1969,39,106,68,838,1715,11959,93,93,92,1,11
Mark Malone\MaloMa00,0,0,0,5,1980,1989,27,73,54,839,1648,10175,60,63,81,86,671
Jack Concannon\ConcJa00,0,0,0,3,1964,1975,27,90,45,560,1110,6270,36,93,63,50,401
Dave Brown\BrowDa00,0,0,0,3,1992,2001,27,73,60,892,1634,10248,44,71,58,181,1005
Jim Ninowski\NinoJi00,1,0,0,3,1958,1969,27,89,31,513,1048,7133,34,84,67,1,11
Chad Henne\HennCh01,0,0,0,3,2008,2020,27,69,53,1163,1961,12973,58,81,63,150,941
Virgil Carter\CartVi00,0,0,0,2,1968,1976,26,52,30,425,785,5063,29,90,31,44,343
Steve Spurrier\SpurSt00,0,0,0,3,1967,1976,26,106,38,597,1151,6878,40,81,60,82,634
Gary Cuozzo\CuozGa00,0,0,0,4,1963,1972,26,82,40,584,1182,7402,43,72,55,55,401
John Friesz\FrieJo00,0,0,0,1,1990,2000,26,69,38,745,1364,8699,45,81,42,74,487
Derek Anderson\AndeDe00,0,0,1,3,2006,2018,23,78,49,909,1674,10878,60,78,64,81,563
Rex Grossman\GrosRe00,0,0,0,3,2003,2012,23,54,47,863,1562,10232,56,64,60,92,698
Billy Joe Tolliver\TollBi00,0,0,0,3,1989,1999,26,79,47,891,1707,10760,59,82,64,125,877
Steve Pelluer\PellSt00,0,0,0,2,1984,1990,24,65,30,548,974,6870,29,84,39,81,570
Randy Johnson\JohnRa00,0,0,0,3,1966,1976,24,75,49,647,1286,8329,51,82,90,72,602
Tommy Maddox\MaddTo00,1,0,0,2,1992,2005,24,92,36,686,1200,8087,48,72,54,94,541
Steve Ramsey\RamsSt00,0,0,0,2,1970,1976,23,54,31,456,921,6437,35,76,58,110,792
Brian Hoyer\HoyeBr00,1,0,0,3,2009,2020,23,70,39,888,1501,10404,52,81,35,88,636
Jack Trudeau\TrudJa00,0,0,0,3,1986,1995,23,67,49,873,1644,10243,42,84,69,103,717
Gary Hogeboom\HogeGa00,0,0,0,2,1980,1989,22,79,37,743,1325,9436,49,72,60,118,890
Tarvaris Jackson\JackTa00,1,0,0,2,2006,2015,21,59,34,640,1073,7263,39,71,35,90,546
Craig Erickson\EricCr00,0,0,0,2,1992,1997,21,52,36,591,1092,7625,41,71,38,82,535
Bob Lee\LeexBo00,0,0,0,2,1969,1980,21,77,30,368,730,5034,30,63,40,93,805
Jeff Kemp\KempJe00,0,0,0,1,1981,1991,21,96,29,479,916,6230,39,66,40,68,469
Kent Graham\GrahKe00,0,0,0,1,1992,2001,21,81,38,694,1339,7801,39,87,33,100,679
Scott Hunter\HuntSc00,0,0,0,4,1971,1979,20,64,42,335,748,4756,23,82,38,58,458
Steve Walsh\WalsSt00,0,0,0,2,1989,1999,20,80,38,713,1317,7875,40,58,50,40,274
King Hill\HillKi00,0,0,0,1,1958,1969,20,123,29,429,881,5553,37,92,71,0,0
David Whitehurst\WhitDa02,0,0,0,2,1977,1983,20,54,37,504,980,6205,28,78,51,99,738
Dennis Shaw\ShawDe00,0,0,0,3,1970,1975,19,50,37,489,924,6347,35,75,68,124,1072
Damon Huard\HuarDa00,1,0,0,1,1998,2008,19,64,27,574,946,6303,33,78,26,94,612
Matt Moore\MoorMa01,1,0,0,1,2007,2019,19,55,32,645,1074,7597,49,66,36,87,606
Dave Lewis\LewiDa22,0,1,0,0,1970,1973,13,56,0,6,14,57,0,18,0,4,22
